Date,Time,Open,High,Low,Close,Volume
2016.02.05,16:00,116.829,117.428,116.29,116.994,56925
2016.02.05,20:00,116.997,117.079,116.833,116.889,35965
2016.02.06,0:00,116.891,116.987,116.814,116.819,9493
2016.02.08,0:00,116.783,116.996,116.756,116.945,9612
2016.02.08,4:00,116.946,117.276,116.88,117.216,23280
2016.02.08,8:00,117.215,117.52,117.178,117.314,20562
2016.02.08,12:00,117.314,117.336,116.554,116.652,44127
2016.02.08,16:00,116.655,116.662,115.547,115.564,56744
2016.02.08,20:00,115.564,115.853,115.17,115.364,41389
2016.02.09,0:00,115.364,115.853,115.336,115.663,23041
2016.02.09,4:00,115.663,115.663,114.204,114.571,43516
2016.02.09,8:00,114.571,115.339,114.409,115.297,36888
2016.02.09,12:00,115.297,115.539,114.888,115.049,47644
2016.02.09,16:00,115.05,115.383,114.318,114.675,58165
2016.02.09,20:00,114.678,115.193,114.645,114.996,48051
2016.02.10,0:00,114.994,115.255,114.985,115.182,21008
2016.02.10,4:00,115.182,115.215,114.253,114.653,44780
2016.02.10,8:00,114.648,115.039,114.303,114.871,38050
2016.02.10,12:00,114.874,115.183,114.488,114.951,46649
2016.02.10,16:00,114.961,115.193,114.403,114.414,57779
2016.02.10,20:00,114.418,114.606,113.614,113.646,51357
2016.02.11,0:00,113.644,113.782,113.115,113.236,25467
2016.02.11,4:00,113.235,113.484,112.53,112.797,34505
2016.02.11,8:00,112.797,112.797,112.274,112.722,30139
2016.02.11,12:00,112.728,112.728,110.979,111.302,58742
2016.02.11,16:00,111.304,113.197,111.104,111.873,66861
2016.02.11,20:00,111.873,112.576,111.569,112.372,54670
2016.02.12,0:00,112.371,112.65,112.109,112.487,24611
2016.02.12,4:00,112.482,113.012,111.892,112.957,49452
2016.02.12,8:00,112.956,112.958,111.657,112.166,43947
2016.02.12,12:00,112.165,112.802,112.081,112.575,44440
2016.02.12,16:00,112.578,113.163,112.549,112.707,50124
2016.02.12,20:00,112.708,113.536,112.702,113.241,35649
2016.02.13,0:00,113.239,113.366,113.183,113.209,9789
2016.02.15,0:00,113.357,113.705,113.294,113.675,8495
2016.02.15,4:00,113.673,113.942,113.267,113.929,38440
2016.02.15,8:00,113.929,114.095,113.678,113.764,32278
2016.02.15,12:00,113.762,114.002,113.596,113.979,37973
2016.02.15,16:00,113.979,114.557,113.941,114.489,33033
2016.02.15,20:00,114.488,114.717,114.478,114.693,15335
2016.02.16,0:00,114.693,114.727,114.307,114.348,12393
2016.02.16,4:00,114.35,114.866,114.286,114.863,33316
2016.02.16,8:00,114.862,114.871,114.32,114.494,27599
2016.02.16,12:00,114.494,114.497,113.642,114.057,45882
2016.02.16,16:00,114.058,114.125,113.636,113.811,45945
2016.02.16,20:00,113.809,113.982,113.591,113.866,27036
2016.02.17,0:00,113.866,114.232,113.84,114.132,14023
2016.02.17,4:00,114.132,114.39,113.711,113.713,31104
2016.02.17,8:00,113.714,113.933,113.37,113.466,30824
2016.02.17,12:00,113.466,114.293,113.46,114.13,39633
2016.02.17,16:00,114.13,114.5,113.964,114.271,42230
2016.02.17,20:00,114.272,114.346,113.744,113.757,29515
2016.02.18,0:00,113.754,114.317,113.74,114.288,18784
2016.02.18,4:00,114.29,114.313,113.792,113.931,28712
2016.02.18,8:00,113.934,114.103,113.748,113.934,24409
2016.02.18,12:00,113.933,114.003,113.612,113.852,35748
2016.02.18,16:00,113.853,113.924,113.595,113.637,39707
2016.02.18,20:00,113.637,113.656,113.436,113.556,30558
2016.02.19,0:00,113.559,113.59,113.139,113.251,16719
2016.02.19,4:00,113.254,113.292,112.707,112.875,32667
2016.02.19,8:00,112.875,113.213,112.754,112.947,25384
2016.02.19,12:00,112.948,113.144,112.779,112.85,37456
2016.02.19,16:00,112.85,113.203,112.747,112.773,42702
2016.02.19,20:00,112.773,112.78,112.301,112.563,27257
2016.02.20,0:00,112.561,112.686,112.531,112.531,6459
